,country,capital,lat,long,lat_decimal,long_decimal
0,Afghanistan,Kabul,34°28'N,69°11'E,34.46666667,69.18333333
1,Albania,Tirane,41°18'N,19°49'E,41.3,19.81666667
2,Algeria,Algiers,36°42'N,03°08'E,36.7,3.133333333
3,American Samoa,Pago Pago,14°16'S,170°43'W,-14.26666667,-170.7166667
4,Andorra,Andorra la Vella,42°31'N,01°32'E,42.51666667,1.533333333
5,Angola,Luanda,08°50'S,13°15'E,-8.833333333,13.25
6,Antigua and Barbuda,W. Indies,17°20'N,61°48'W,17.33333333,-61.8
7,Argentina,Buenos Aires,36°30'S,60°00'W,-36.5,-60
8,Armenia,Yerevan,40°10'N,44°31'E,40.16666667,44.51666667
9,Aruba,Oranjestad,12°32'N,70°02'W,12.53333333,-70.03333333
10,Australia,Canberra,35°15'S,149°08'E,-35.25,149.1333333
11,Austria,Vienna,48°12'N,16°22'E,48.2,16.36666667
12,Azerbaijan,Baku,40°29'N,49°56'E,40.48333333,49.93333333
13,Bahamas,Nassau,25°05'N,77°20'W,25.08333333,-77.33333333
14,Bahrain,Manama,26°10'N,50°30'E,26.16666667,50.5
15,Bangladesh,Dhaka,23°43'N,90°26'E,23.71666667,90.43333333
16,Barbados,Bridgetown,13°05'N,59°30'W,13.08333333,-59.5
17,Belarus,Minsk,53°52'N,27°30'E,53.86666667,27.5
18,Belgium,Brussels,50°51'N,04°21'E,50.85,4.35
19,Belize,Belmopan,17°18'N,88°30'W,17.3,-88.5
20,Benin,Porto-Novo (constitutional cotonou) (seat of gvnt),06°23'N,02°42'E,6.383333333,2.7
21,Bhutan,Thimphu,27°31'N,89°45'E,27.51666667,89.75
22,Bolivia,La Paz (adm.)/sucre (legislative),16°20'S,68°10'W,-16.33333333,-68.16666667
23,Bosnia and Herzegovina,Sarajevo,43°52'N,18°26'E,43.86666667,18.43333333
24,Botswana,Gaborone,24°45'S,25°57'E,-24.75,25.95
25,Brazil,Brasilia,15°47'S,47°55'W,-15.78333333,-47.91666667
26,British Virgin Islands,Road Town,18°27'N,64°37'W,18.45,-64.61666667
27,Brunei Darussalam,Bandar Seri Begawan,04°52'N,115°00'E,4.866666667,115
28,Bulgaria,Sofia,42°45'N,23°20'E,42.75,23.33333333
29,Burkina Faso,Ouagadougou,12°15'N,01°30'W,12.25,-1.5
30,Burundi,Bujumbura,03°16'S,29°18'E,-3.266666667,29.3
31,Cambodia,Phnom Penh,11°33'N,104°55'E,11.55,104.9166667
32,Cameroon,Yaounde,03°50'N,11°35'E,3.833333333,11.58333333
33,Canada,Ottawa,45°27'N,75°42'W,60,-107
34,Cape Verde,Praia,15°02'N,23°34'W,15.03333333,-23.56666667
35,Cayman Islands,George Town,19°20'N,81°24'W,19.33333333,-81.4
36,Central African Republic,Bangui,04°23'N,18°35'E,4.383333333,18.58333333
37,Chad,N'Djamena,12°10'N,14°59'E,12.16666667,14.98333333
38,Chile,Santiago,33°24'S,70°40'W,-33.4,-70.66666667
39,China,Beijing,39°55'N,116°20'E,39.91666667,116.3333333
40,Colombia,Bogota,04°34'N,74°00'W,4.566666667,-74
41,Comros,Moroni,11°40'S,43°16'E,-11.66666667,43.26666667
42,Congo,Brazzaville,04°09'S,15°12'E,-4.15,15.2
43,Costa Rica,San Jose,09°55'N,84°02'W,9.916666667,-84.03333333
44,Cote d'Ivoire,Yamoussoukro,06°49'N,05°17'W,6.816666667,-5.283333333
45,Croatia,Zagreb,45°50'N,15°58'E,45.83333333,15.96666667
46,Cuba,Havana,23°08'N,82°22'W,23.13333333,-82.36666667
47,Cyprus,Nicosia,35°10'N,33°25'E,35.16666667,33.41666667
48,Czech Republic,Prague,50°05'N,14°22'E,50.08333333,14.36666667
49,Democratic People's Republic of,P'yongyang,39°09'N,125°30'E,39.15,125.5
50,Democratic Republic of the Congo,Kinshasa,04°20'S,15°15'E,-4.333333333,15.25
51,Denmark,Copenhagen,55°41'N,12°34'E,55.68333333,12.56666667
52,Djibouti,Djibouti,11°08'N,42°20'E,11.13333333,42.33333333
53,Dominica,Roseau,15°20'N,61°24'W,15.33333333,-61.4
54,Dominican Republic,Santo Domingo,18°30'N,69°59'W,18.5,-69.98333333
55,East Timor,Dili,08°29'S,125°34'E,-8.483333333,125.5666667
56,Ecuador,Quito,00°15'S,78°35'W,-0.25,-78.58333333
57,Egypt,Cairo,30°01'N,31°14'E,30.01666667,31.23333333
